doctorID,date,time,status
D002,2024-11-14,09:00,Available
D002,2024-11-14,09:30,Available
D002,2024-11-14,10:00,Available
D002,2024-11-14,10:30,Available
D002,2024-11-14,11:00,Available
D002,2024-11-14,11:30,Available
D002,2024-11-14,12:00,Available
D002,2024-11-14,12:30,Available
D002,2024-11-14,13:00,Available
D002,2024-11-14,13:30,Available
D002,2024-11-14,14:00,Available
D002,2024-11-14,14:30,Available
D002,2024-11-14,15:00,Available
D002,2024-11-14,15:30,Available
D002,2024-11-14,16:00,Available
D002,2024-11-14,16:30,Available
D002,2024-11-15,09:00,Available
D002,2024-11-15,09:30,Available
D002,2024-11-15,10:00,Available
D002,2024-11-15,10:30,Available
D002,2024-11-15,11:00,Available
D002,2024-11-15,11:30,Available
D002,2024-11-15,12:00,Available
D002,2024-11-15,12:30,Available
D002,2024-11-15,13:00,Available
D002,2024-11-15,13:30,Available
D002,2024-11-15,14:00,Available
D002,2024-11-15,14:30,Available
D002,2024-11-15,15:00,Available
D002,2024-11-15,15:30,Available
D002,2024-11-15,16:00,Available
D002,2024-11-15,16:30,Available
D002,2024-11-16,09:00,Available
D002,2024-11-16,09:30,Available
D002,2024-11-16,10:00,Available
D002,2024-11-16,10:30,Available
D002,2024-11-16,11:00,Available
D002,2024-11-16,11:30,Available
D002,2024-11-16,12:00,Available
D002,2024-11-16,12:30,Available
D002,2024-11-16,13:00,Available
D002,2024-11-16,13:30,Available
D002,2024-11-16,14:00,Available
D002,2024-11-16,14:30,Available
D002,2024-11-16,15:00,Available
D002,2024-11-16,15:30,Available
D002,2024-11-16,16:00,Available
D002,2024-11-16,16:30,Available
D002,2024-11-17,09:00,Available
D002,2024-11-17,09:30,Available
D002,2024-11-17,10:00,Available
D002,2024-11-17,10:30,Available
D002,2024-11-17,11:00,Available
D002,2024-11-17,11:30,Available
D002,2024-11-17,12:00,Available
D002,2024-11-17,12:30,Available
D002,2024-11-17,13:00,Available
D002,2024-11-17,13:30,Available
D002,2024-11-17,14:00,Available
D002,2024-11-17,14:30,Available
D002,2024-11-17,15:00,Available
D002,2024-11-17,15:30,Available
D002,2024-11-17,16:00,Available
D002,2024-11-17,16:30,Available
